VALUE	ABB	AVL
1319458981	38	16
1018891770	38	16
234386066	38	16
345492170	36	16
648031066	35	16
837596767	31	16
1785441506	34	17
1564602098	42	17
1222660464	43	16
1547922888	33	17
1995091553	37	16
1714715837	29	17
842368602	36	16
1188624320	37	18
1310435969	44	16
945456844	36	17
406265481	33	15
1388877595	39	16
1475328939	37	17
91149101	47	15
1980368423	37	15
142844528	39	17
580476480	34	17
416146229	37	15
1209819418	37	18
2093694147	32	17
418480944	34	14
975904418	41	16
1000982779	34	15
1978782887	31	15
1835010150	34	16
172958113	39	16
850191009	36	17
2069396217	37	16
518450283	33	17
1498222076	39	18
759509336	34	16
156408141	40	16
915340526	34	17
1982169801	35	16
1704331030	26	16
762948431	34	16
1549401990	41	16
399215984	40	15
1951572751	35	17
712354311	33	16
1344672828	39	16
210354584	43	15
2101231907	35	16
672518119	36	17
301503685	33	16
1934116682	33	17
815362647	38	17
881980166	40	16
202779263	42	16
2025182065	36	17
828190665	36	16
621260207	37	16
853602836	43	17
1829173444	34	17
452559446	33	15
541129338	35	15
2002131557	31	17
1302750456	37	16
463041907	37	18
373098193	42	15
653488884	28	17
1222551244	43	16
529506334	34	15
1568829410	40	16
1057237397	41	18
86353716	42	15
184294193	38	16
459155739	41	17
485569700	34	16
2135866945	32	17
1171510050	40	18
1830242528	36	17
198737881	36	16
1125258309	31	18
355277000	34	16
500241567	33	15
911891343	38	16
1170639647	36	17
1382221733	51	16
1114670606	37	17
1048338065	41	18
62928750	44	16
1735930814	33	14
1901940901	36	16
1892102194	31	16
41006612	36	16
295586591	38	16
1746750104	37	14
1343757068	33	16
758628499	32	17
2119848297	41	16
1997245952	36	17
1981179743	37	16
501870983	33	16
1418591714	41	17
890933492	39	16
588224700	30	16
1602885908	42	16
1350089231	35	16
1073794400	40	17
1591269205	42	15
374115633	34	15
756553281	36	18
1790007086	41	16
1499373943	42	16
1111830281	36	18
142765005	42	17
263781638	40	16
134986280	41	16
1524986738	44	17
1378452245	43	16
1183324345	42	18
1587915488	41	16
966899411	36	18
937781598	37	16
1332534035	37	18
1007906023	39	17
1233368190	42	17
931800491	34	16
204179444	40	15
1991996689	34	16
904165140	44	15
53941748	42	17
1825692784	36	16
1406036123	44	17
1472533463	44	17
569142628	38	16
1994260823	33	17
927935723	35	17
1919231859	31	15
920571576	36	17
371721280	36	15
145863844	35	16
1677124857	27	15
14244718	33	17
1645237787	40	16
641471490	36	17
157009724	40	16
1909019426	30	17
776457770	39	17
1681996462	25	16
1139988023	34	18
1959782116	28	15
1122428303	29	16
2106887434	32	14
750080066	27	16
307478690	35	17
967309809	38	17
1983448256	35	16
1239279181	37	16
1171489253	39	18
1827961297	36	17
2143444321	31	17
1225431002	48	15
1506170433	45	16
1401996796	39	15
550480817	33	17
2075313061	39	16
1248773972	43	16
1478416540	40	16
1847061272	41	15
21861900	36	16
1850137820	33	15
1992925117	34	16
1698986757	34	16
1864382538	36	15
1490679256	39	18
192974599	42	14
2021392262	30	17
1252215034	37	15
969432369	34	17
1555905077	46	16
244719409	40	15
781730837	32	16
530849732	33	15
204123195	39	15
1531810904	41	17
838328422	36	16
1171433005	39	18
1367775512	33	14
2077607603	27	15
195438610	38	14
1048253162	39	19
2073568276	39	15
1420869612	37	17
406939947	36	16
1328081424	35	17
1971350429	35	15
334769361	33	17
429371748	37	15
1302283321	34	16
34346985	34	17
451233648	36	16
1004937493	37	17
2027272102	36	16
2736757	31	16
721836384	30	18
1370467711	39	15
